ID,region,DICE,JACC,ACCU,PREC,SENS,SPEC,HAUS,model
BraTS2024_PED-00001-000,EDE,0.32755048803837444,0.19585074807680658,0.9851302643369175,0.19851054163238743,0.9359675785207701,0.9853212278017935,62.88083968904996,nnUnet
BraTS2024_PED-00001-000,ENH,0.0,0.0,0.9993051075268817,,,1.0,0.0,nnUnet
BraTS2024_PED-00001-000,NEC,0.5109424442920051,0.3431314272127445,0.9925735887096774,0.7267862763613472,0.393946632088992,0.9985271629833298,68.38859554048467,nnUnet
BraTS2024_PED-00002-000,EDE,0.0002288542270090898,0.00011444020856728011,0.9843419578853047,0.0001144410271082183,0.9411764705882353,0.9843420400778092,101.44456614328833,nnUnet
BraTS2024_PED-00002-000,ENH,0.0,0.0,0.9995296818996415,,,0.9999010609227172,69.66347680097513,nnUnet
BraTS2024_PED-00002-000,NEC,0.318072615301323,0.18911197843318714,0.9977427195340501,0.30541295730716744,0.3318271674668173,0.998800852966108,71.87489130426563,nnUnet
BraTS2024_PED-00003-000,EDE,0.031268174873083934,0.01588239417578786,0.9889927195340502,0.015921296993424684,0.8666666666666667,0.9890177982270112,116.72617529928752,nnUnet
BraTS2024_PED-00003-000,ENH,0.3589902021361109,0.21876176644612985,0.9983732078853047,0.4557373375168086,0.2961264016309888,0.9994551430257971,91.2633551870629,nnUnet
BraTS2024_PED-00003-000,NEC,0.0,0.0,0.9992511200716846,,,0.9993673099538231,66.36264009214823,nnUnet
BraTS2024_PED-00004-000,EDE,0.2677225126373721,0.1545494382917696,0.9904917114695341,0.15869834224762996,0.8553160998732293,0.9907669674159754,83.10234653726692,nnUnet
BraTS2024_PED-00004-000,ENH,0.671211175651673,0.5051300578034682,0.9984657258064517,0.7537466307277628,0.6049671166493596,0.9994870233067502,13.038404810405298,nnUnet
BraTS2024_PED-00004-000,NEC,0.5787328428430145,0.4071949738152507,0.9917460797491039,0.8523988346833269,0.4380841930346881,0.9990053851049016,9.219544457292887,nnUnet
BraTS2024_PED-00005-000,EDE,0.0,0.0,0.9756896281362007,,,0.9756896281362007,,nnUnet
BraTS2024_PED-00005-000,ENH,0.8952966594648496,0.8104408003610651,0.9997177419354839,0.8998580138645286,0.890781314592807,0.9998655212230279,66.76825593049439,nnUnet
BraTS2024_PED-00005-000,NEC,0.6253710666930536,0.4549380938669738,0.9995759408602151,0.6368399838774688,0.614307931570762,0.9997980467240534,70.14983962918234,nnUnet
BraTS2024_PED-00006-000,EDE,0.0,0.0,0.9776587141577061,,,0.9776587141577061,,nnUnet
BraTS2024_PED-00006-000,ENH,0.0,0.0,0.9990709005376344,,,0.9990709005376344,,nnUnet
BraTS2024_PED-00006-000,NEC,0.0,0.0,0.9981732750896057,,,0.9987271167064083,107.15876072445033,nnUnet
BraTS2024_PED-00008-000,EDE,2.6641091219096334e-05,1.3320723048847091e-05,0.9831832437275986,1.3320723048847091e-05,1.0,0.9831832399604032,124.58330546265017,nnUnet
BraTS2024_PED-00008-000,ENH,0.0,0.0,0.9937753136200717,,,0.9937760927903954,167.68124522438399,nnUnet
BraTS2024_PED-00008-000,NEC,0.07139287053069385,0.03701784020177245,0.976692876344086,0.057193316125526424,0.09497180172157911,0.9850900774838799,152.9607792867178,nnUnet
BraTS2024_PED-00009-000,EDE,0.0801350951829748,0.041739965651704104,0.979438732078853,0.04175282494726069,0.9926753569211669,0.9794267789767762,44.46346815083142,nnUnet
BraTS2024_PED-00009-000,ENH,0.915478213887732,0.8441307732226259,0.999158938172043,0.9063071094272342,0.9248368242705419,0.999526791279047,4.123105625617661,nnUnet
BraTS2024_PED-00009-000,NEC,0.25286624203821656,0.14473204520597885,0.9942190860215053,0.7672845471316876,0.15137702133559805,0.9997013630763233,4.58257569495584,nnUnet
BraTS2024_PED-00010-000,EDE,0.0,0.0,0.9887722894265233,,,0.9887725109257417,168.25278600962304,nnUnet
BraTS2024_PED-00010-000,ENH,0.5182422571752878,0.3497483037863865,0.999667226702509,0.8554603854389722,0.3717143521749244,0.9999697434954399,78.71467461661771,nnUnet
BraTS2024_PED-00010-000,NEC,0.46476424412367473,0.3027315136093762,0.9918970654121864,0.7882598002308889,0.3295284058123066,0.9990447978162925,73.38937252763509,nnUnet
BraTS2024_PED-00013-000,EDE,0.0,0.0,0.9892699372759857,,,0.9892699372759857,,nnUnet
BraTS2024_PED-00013-000,ENH,1.0,1.0,1.0,,,1.0,,nnUnet
BraTS2024_PED-00013-000,NEC,0.5375706772788424,0.36758745802400833,0.9944945116487455,0.9703824468446437,0.37175833756229587,0.9999014817172324,67.90434448545984,nnUnet
BraTS2024_PED-00014-000,EDE,0.0,0.0,0.9796761872759857,,,0.9796761872759857,,nnUnet
BraTS2024_PED-00014-000,ENH,0.0,0.0,0.9989229390681004,,,0.9992105702470357,99.72462083156798,nnUnet
BraTS2024_PED-00014-000,NEC,0.14527816391115317,0.07832881518099187,0.9935262096774193,0.18252080856123662,0.12065831491034144,0.9975245547292819,83.0,nnUnet
BraTS2024_PED-00015-000,EDE,0.1984341252699784,0.11014536190618912,0.9913537186379928,0.12486931521170935,0.48296603315810754,0.9924827821866915,117.66902736064405,nnUnet
BraTS2024_PED-00015-000,ENH,0.0,0.0,0.9843665994623656,,,0.9843670404870253,205.28273186023222,nnUnet
BraTS2024_PED-00015-000,NEC,0.03367346236677515,0.01712506123591574,0.9685387544802867,0.01763247777025177,0.3730751638969355,0.9694149625311922,202.03960007879644,nnUnet
